title,date,author,url,source
"Empresas contratam soluções de IA no setor privado, mas parcerias com universidades ainda são limitadas, revela pesquisa",13 MAI 2025,CGI.br Notícias,https://cgi.br/noticia/releases/empresas-contratam-solucoes-de-ia-no-setor-privado-mas-parcerias-com-universidades-ainda-sao-limitadas-revela-pesquisa/,CGI Notícias
Evento celebra 20 anos do Cetic.br e discute caminhos para um futuro digital mais inclusivo,12 MAI 2025,CGI.br Notícias,https://cgi.br/noticia/releases/evento-celebra-20-anos-do-cetic-br-e-discute-caminhos-para-um-futuro-digital-mais-inclusivo/,CGI Notícias
Associações de provedores fazem manifestação em defesa da Norma 4/1995 e independência do CGI.br,07 MAI 2025,CGI.br Notícias,https://cgi.br/noticia/notas/associacoes-de-provedores-fazem-manifestacao-em-defesa-da-norma-4-1995-e-independencia-do-cgi-br/,CGI Notícias
Ministra do MCTI visita instalações do NIC.br em São Paulo e conhece iniciativas da entidade para o desenvolvimento da Internet no Brasil,25 ABR 2025,CGI.br Notícias,https://cgi.br/noticia/notas/ministra-do-mcti-visita-instalacoes-do-nic-br-em-sao-paulo-e-conhece-iniciativas-da-entidade-para-o-desenvolvimento-da-internet-no-brasil/,CGI Notícias
Ministro-chefe do GSI participa de reunião de Câmara de Segurança do CGI.br,14 ABR 2025,CGI.br Notícias,https://cgi.br/noticia/notas/ministro-chefe-do-gsi-participa-de-reuniao-de-camara-de-seguranca-do-cgi-br/,CGI Notícias
"NIC.br e CGI.br, em parceria com instituição chinesa,  oferecem treinamento em computação quântica",09 ABR 2025,CGI.br Notícias,https://cgi.br/noticia/notas/nic-br-e-cgi-br-em-parceria-com-instituicao-chinesa-oferecem-treinamento-em-computacao-quantica/,CGI Notícias
CGI.br abre inscrições gratuitas para o 15º Fórum da Internet no Brasil,2025-03-21,CGI.br Notícias,https://cgi.br/noticia/releases/cgi-br-abre-inscricoes-gratuitas-para-o-15-forum-da-internet-no-brasil/,CGI Notícias
"Para celebrar 15 anos do SACI-Adm, NIC.br e CGI.br abrem chamada para publicação de artigos e ensaios",2025-03-18,CGI.br Notícias,https://cgi.br/noticia/releases/para-celebrar-15-anos-do-saci-adm-nic-br-e-cgi-br-abrem-chamada-para-publicacao-de-artigos-e-ensaios/,CGI Notícias
CGI.br elabora proposta de tipologia para diferenciar provedores de aplicações Internet,2025-03-17,CGI.br Notícias,https://cgi.br/noticia/releases/cgi-br-elabora-proposta-de-tipologia-para-diferenciar-provedores-de-aplicacoes-internet/,CGI Notícias
Evento do CGI.br debate responsabilidade de intermediários e regulação de plataformas digitais,2025-03-12,CGI.br Notícias,https://cgi.br/noticia/releases/evento-do-cgi-br-debate-responsabilidade-de-intermediarios-e-regulacao-de-plataformas-digitais/,CGI Notícias
Evento do CGI.br discute desafios e oportunidades para conectividade sustentável na Amazônia,14 FEV 2025,CGI.br Notícias,https://cgi.br/noticia/releases/evento-do-cgi-br-discute-desafios-e-oportunidades-para-conectividade-sustentavel-na-amazonia/,CGI Notícias
"Dia da Internet Segura 2025: evento discutirá segurança online, cidadania digital e ética na rede",07 FEV 2025,CGI.br Notícias,https://cgi.br/noticia/releases/dia-da-internet-segura-2025-evento-discutira-seguranca-online-cidadania-digital-e-etica-na-rede/,CGI Notícias
Ceptro.br anuncia agenda 2025 de cursos e eventos gratuitos para a comunidade técnica da Internet,05 FEV 2025,CGI.br Notícias,https://cgi.br/noticia/releases/ceptro-br-anuncia-agenda-2025-de-cursos-e-eventos-gratuitos-para-a-comunidade-tecnica-da-internet/,CGI Notícias
"Evento principal do Dia da Internet Segura no Brasil acontece em 11 e 12 deste mês, na capital paulista",05 FEV 2025,CGI.br Notícias,https://cgi.br/noticia/releases/evento-principal-do-dia-da-internet-segura-no-brasil-acontece-em-11-e-12-deste-mes-na-capital-paulista/,CGI Notícias
IGF 2024: Acompanhe sessões organizadas ou com participação de representantes do CGI.br e NIC.br,13 DEZ 2024,CGI.br Notícias,https://cgi.br/noticia/notas/igf-2024-acompanhe-sessoes-organizadas-ou-com-participacao-de-membros-do-cgi-br-e-nic-br/,CGI Notícias
14ª Semana de Infraestrutura da Internet no Brasil debate transformações em tempos de IA e conectividade no mercado nacional,2024-11-27,CGI.br Notícias,https://cgi.br/noticia/releases/14-semana-de-infraestrutura-da-internet-no-brasil-debate-transformacoes-em-tempos-de-ia-e-conectividade-no-mercado-nacional/,CGI Notícias
CGI.br recebe inscrições para Youth Brasil 2025,2024-11-21,CGI.br Notícias,https://cgi.br/noticia/notas/cgi-br-recebe-inscricoes-para-youth-brasil-2025/,CGI Notícias
CGI.br e IDP inauguram a Cátedra Internacional Danilo Doneda,2024-11-13,CGI.br Notícias,https://cgi.br/noticia/releases/cgi-br-e-idp-inauguram-a-catedra-internacional-danilo-doneda/,CGI Notícias
"Provedor, participe de um dos mais importantes mapeamentos do mercado de provimento à Internet no Brasil",2024-11-13,CGI.br Notícias,https://cgi.br/noticia/notas/provedor-participe-de-um-dos-mais-importantes-mapeamentos-do-mercado-de-provimento-a-internet-no-brasil/,CGI Notícias
"Em duas décadas, proporção de lares urbanos brasileiros com Internet passou de 13% para 85%, aponta TIC Domicílios 2024",31 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/releases/em-duas-decadas-proporcao-de-lares-urbanos-brasileiros-com-internet-passou-de-13-para-85-aponta-tic-domicilios-2024/,CGI Notícias
9º Simpósio de Crianças e Adolescentes na Internet debate IA na educação e uso de tecnologias pelo público infantojuvenil,23 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/releases/9-simposio-de-criancas-e-adolescentes-na-internet-debate-ia-na-educacao-e-uso-de-tecnologias-pelo-publico-infantojuvenil/,CGI Notícias
"TIC Kids Online investiga, pela primeira vez, frequência do uso de plataformas digitais por crianças e adolescentes",23 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/releases/tic-kids-online-investiga-pela-primeira-vez-frequencia-do-uso-de-plataformas-digitais-por-criancas-e-adolescentes/,CGI Notícias
NIC.br retoma diálogo com autoridades do Reino Unido sobre Programa de Cooperação em Acesso Digital,18 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/notas/nic-br-retoma-dialogo-com-autoridades-do-reino-unido-sobre-programa-de-cooperacao-em-acesso-digital/,CGI Notícias
"Estabelecimentos de saúde brasileiros avançam na digitalização, mas habilidade em informática aplicada à área ainda é reduzida entre os profissionais do setor, revela pesquisa",11 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/releases/estabelecimentos-de-saude-brasileiros-avancam-na-digitalizacao-mas-habilidade-em-informatica-aplicada-a-area-ainda-e-reduzida-entre-os-profissionais-do-setor-revela-pesquisa/,CGI Notícias
"Em evento do CGI.br e NIC.br, Mark Coeckelbergh destaca que IA pode minar confiança no regime democrático",11 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/releases/em-evento-do-cgi-br-e-nic-br-mark-coeckelbergh-destaca-que-ia-pode-minar-confianca-no-regime-democratico/,CGI Notícias
Carta di Praia of the 2nd Lusophone Internet Governance Forum,10 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/notas/carta-di-praia-of-the-2nd-lusophone-internet-governance-forum/,CGI Notícias
Carta di Praia del 2º Foro Lusófono de la Gobernanza de Internet,10 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/notas/carta-di-praia-del-2-foro-lusofono-de-la-gobernanza-de-internet/,CGI Notícias
"CGI.br e NIC.br realizam encontro com Mark Coeckelbergh, autor do livro ""Ética na Inteligência Artificial""",02 OUT 2024,CGI.br Notícias,https://cgi.br/noticia/releases/cgi-br-e-nic-br-realizam-encontro-com-mark-coeckelbergh-autor-do-livro-etica-na-inteligencia-artificial/,CGI Notícias
CGI.br abre chamada para a publicação de textos em livro e revista,24 SET 2024,CGI.br Notícias,https://cgi.br/noticia/notas/cgi-br-abre-chamada-para-a-publicacao-de-textos-em-livro-e-revista/,CGI Notícias
