title,date,author,url,source
Ceweb.br organiza debate sobre os impactos dos “agentes de IA” no ecossistema da Web,01 AGO 2025,CGI.br Notícias,https://cgi.br/noticia/notas/ceweb-br-organiza-debate-sobre-os-impactos-dos-agentes-de-ia-no-ecossistema-da-web/,CGI Notícias
Iniciativa do CGI.br e do NIC.br busca fortalecer papel do Brasil na discussão de padrões para a Internet,2025-07-24,CGI.br Notícias,https://cgi.br/noticia/notas/iniciativa-do-cgi-br-e-do-nic-br-busca-fortalecer-papel-do-brasil-na-discussao-de-padroes-para-a-internet/,CGI Notícias
Belém será a cidade-sede do 16º Fórum da Internet no Brasil,2025-07-18,CGI.br Notícias,https://cgi.br/noticia/releases/belem-sera-a-cidade-sede-do-16-forum-da-internet-no-brasil/,CGI Notícias
IGF 2025: Confira as atividades organizadas ou com participação de representantes do CGI.br e NIC.br,2025-06-18,CGI.br Notícias,https://cgi.br/noticia/notas/igf-2025-confira-as-atividades-organizadas-ou-com-participacao-de-representantes-do-cgi-br-e-nic-br/,CGI Notícias
CGI.br prorroga até 30 de junho prazo da consulta sobre princípios para regulação de redes sociais,2025-06-16,CGI.br Notícias,https://cgi.br/noticia/releases/cgi-br-prorroga-ate-30-de-junho-prazo-da-consulta-sobre-principios-para-regulacao-de-redes-sociais/,CGI Notícias
Ceweb.br oferece capacitação para a nova norma ABNT de acessibilidade digital,2025-06-13,CGI.br Notícias,https://cgi.br/noticia/releases/ceweb-br-oferece-capacitacao-para-a-nova-norma-abnt-de-acessibilidade-digital/,CGI Notícias
"Em visita ao NIC.br, deputado federal David Soares conhece modelo de governança da Internet que é referência internacional",2025-06-05,CGI.br Notícias,https://cgi.br/noticia/notas/em-visita-ao-nic-br-deputado-federal-david-soares-conhece-modelo-de-governanca-da-internet-que-e-referencia-internacional/,CGI Notícias
"Nota de pesar: Antonio Hélio Guerra Vieira, ex-reitor da USP e professor que liderou projeto do primeiro computador brasileiro",2025-06-02,CGI.br Notícias,https://cgi.br/noticia/notas/nota-de-pesar-antonio-helio-guerra-vieira-ex-reitor-da-usp-e-professor-que-liderou-projeto-do-primeiro-computador-brasileiro/,CGI Notícias
Fórum da Internet no Brasil resgata legado da Eco92 e discute desafios da governança digital e ambiental,29 MAI 2025,CGI.br Notícias,https://cgi.br/noticia/releases/forum-da-internet-no-brasil-resgata-legado-da-eco92-e-discute-desafios-da-governanca-digital-e-ambiental/,CGI Notícias
Prêmio Destaques homenageia 12 personalidades que contribuíram com o desenvolvimento da Internet no país,29 MAI 2025,CGI.br Notícias,https://cgi.br/noticia/releases/premio-destaques-homenageia-12-personalidades-que-contribuiram-com-o-desenvolvimento-da-internet-no-pais/,CGI Notícias
